PAR AU195
AZP 195 ; 79
NDA 1
COM ***************** Evaluation Date: 27/06/2012 ****************
COM ===================== Daughter Separator =====================
DAU PT195
DDE 1 ;  ; 4 ; 18
Q   226.8 ; 1
COM ---------------------- Branch Separator ----------------------
CL1 0.000005 ; 0.000006 ; 4 ; 15.402 ; 1 ; 0
CL2 0.000005 ; 0.000006 ; 4 ; 15.402 ; 1 ; 0
CM  0.0002 ; 0.00002 ; 4 ; 15.402 ; 1 ; 0
COM ---------------------- Branch Separator ----------------------
CL1 0.000069 ; 0.000007 ; 3 ; 27.274 ; 1 ; 0
CL2 0.0000053 ; 0.0000005 ; 3 ; 27.274 ; 1 ; 0
CM  0.000074 ; 0.000008 ; 3 ; 27.274 ; 1 ; 0
COM ---------------------- Branch Separator ----------------------
CK  0.058 ; 0.007 ; 2 ; 97.023 ; 1 ; 0
CL1 0.18 ; 0.017 ; 2 ; 97.023 ; 1 ; 0
CL2 0.0128 ; 0.0012 ; 2 ; 97.023 ; 1 ; 0
CM  0.077 ; 0.007 ; 2 ; 97.023 ; 1 ; 0
COM ---------------------- Branch Separator ----------------------
CK  0.26 ; 0.016 ; 1 ; 127.918 ; 1 ; 0
CL1 0.214 ; 0.013 ; 1 ; 127.918 ; 1 ; 0
CL2 0.0152 ; 0.0009 ; 1 ; 127.918 ; 1 ; 0
CM  0.086 ; 0.005 ; 1 ; 127.918 ; 1 ; 0
COM ---------------------- Branch Separator ----------------------
CK  0.0651 ; 0.0027 ; 0 ; 226.8 ; 1 ; 0
CL1 0.0207 ; 0.0009 ; 0 ; 226.8 ; 1 ; 0
CL2 0.00146 ; 0.00006 ; 0 ; 226.8 ; 1 ; 0
CM  0.00772 ; 0.00033 ; 0 ; 226.8 ; 1 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 211.398 ; 0.006 ; 7 ;  ;  ; 4
GA  0.000121 ; 0.00001 ; 211.398 ; 0.006 ; 0
EK  0.000072 ; 0.000006 ; 133.003 ; 0.006 ; 0
EL1 0.0000106 ; 0.0000009 ; 197.517 ; 0.006 ; 0
EL2 0.0000019 ; 0.00000019 ; 198.125 ; 0.006 ; 0
EL3 0.00000065 ; 0.0000001 ; 199.834 ; 0.006 ; 0
EM  0.00000309 ; 0.00000026 ; 208.74 ; 0.006 ; 0
EN  0.0000009 ; 0.00000008 ; 211.021 ; 0.006 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 199.526 ; 0.012 ; 7 ;  ;  ; 3
GA  0.000093 ; 0.000008 ; 199.526 ; 0.012 ; 0
EK  0.000039 ; 0.000007 ; 121.131 ; 0.012 ; 0
EL1 0.0000056 ; 0.000001 ; 185.646 ; 0.012 ; 0
EL2 0.0000046 ; 0.0000007 ; 186.253 ; 0.012 ; 0
EL3 0.0000027 ; 0.0000005 ; 187.962 ; 0.012 ; 0
EM  0.00000314 ; 0.00000028 ; 196.868 ; 0.012 ; 0
EN  0.0000009 ; 0.00000008 ; 199.149 ; 0.012 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 129.777 ; 0.005 ; 13 ;  ;  ; 2
GA  0.008 ; 0.0008 ; 30.895 ; 0.007 ; 1
EL1 0.206 ; 0.021 ; 17.014 ; 0.006 ; 1
EL2 0.0215 ; 0.0023 ; 17.622 ; 0.006 ; 1
EL3 0.003 ; 0.001 ; 19.331 ; 0.006 ; 1
EM  0.053 ; 0.005 ; 28.236 ; 0.006 ; 1
EN  0.0156 ; 0.0016 ; 30.518 ; 0.006 ; 1
GA  0.00854 ; 0.00029 ; 129.777 ; 0.005 ; 0
EK  0.00399 ; 0.00015 ; 51.382 ; 0.005 ; 0
EL1 0.00048 ; 0.000018 ; 115.896 ; 0.005 ; 0
EL2 0.0043 ; 0.00016 ; 116.504 ; 0.005 ; 0
EL3 0.00332 ; 0.00012 ; 118.213 ; 0.005 ; 0
EM  0.00209 ; 0.00008 ; 127.118 ; 0.005 ; 0
EN  0.00059 ; 0.000022 ; 129.4 ; 0.005 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 98.882 ; 0.004 ; 7 ;  ;  ; 1
GA  0.1121 ; 0.0015 ; 98.882 ; 0.004 ; 0
EK  0.627 ; 0.012 ; 20.4872 ; 0.004 ; 0
EL1 0.0939 ; 0.0018 ; 85.0015 ; 0.004 ; 0
EL2 0.0122 ; 0.0007 ; 85.6094 ; 0.004 ; 0
EL3 0.0034 ; 0.0006 ; 87.3182 ; 0.004 ; 0
EM  0.0254 ; 0.0006 ; 96.2235 ; 0.004 ; 0
EN  0.00743 ; 0.00016 ; 98.5047 ; 0.004 ; 0
