PAR PA231
AZP 231 ; 91
NDA 1
COM ***************** Evaluation Date: 08/03/2010 ****************
COM ===================== Daughter Separator =====================
DAU AC227
DDE 1 ;  ; 25 ; 23
Q   5149.9 ; 0.8
COM ---------------------- Branch Separator ----------------------
ALP 0.000021 ; 0.000005 ; 25 ; 4415.6 ; 0.9 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.000036 ; 0.000003 ; 24 ; 4507.6 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.0000076 ; 0.000002 ; 23 ; 4533 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.00008 ; 0.00004 ; 22 ; 4568.1 ; 0.9 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.00015 ; 0.00007 ; 21 ; 4599.6 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.00078 ; 0.00021 ; 20 ; 4630.3 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.000504 ; 0.000011 ; 19 ; 4633 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.0008 ; 0.00006 ; 18 ; 4642.5 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.018 ; 0.003 ; 17 ; 4680.1 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.012 ; 0.0022 ; 16 ; 4712.3 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.084 ; 0.004 ; 15 ; 4736.3 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.000032 ; 0.000009 ; 14 ; 4761.2 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
COM ---------------------- Branch Separator ----------------------
ALP 0.0004 ; 0.00015 ; 12 ; 4794.1 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.014 ; 0.0015 ; 11 ; 4853.5 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
COM ---------------------- Branch Separator ----------------------
COM ---------------------- Branch Separator ----------------------
ALP 0.00002 ; 0.00001 ; 8 ; 4903.4 ; 2.2 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.029 ; 0.003 ; 7 ; 4936 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.225 ; 0.005 ; 6 ; 4952.6 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.004 ; 0.001 ; 5 ; 4977.6 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.016 ; 0.002 ; 4 ; 4987.8 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.253 ; 0.005 ; 3 ; 5015.1 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.2 ; 0.02 ; 2 ; 5031.2 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.028 ; 0.003 ; 1 ; 5033.8 ; 0.8 ; 0
COM ---------------------- Branch Separator ----------------------
ALP 0.117 ; 0.005 ; 0 ; 5060.7 ; 0.8 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 656.4 ; 0.3 ; 4 ;  ;  ; 25
GA  0.0000083 ; 0.0000013 ; 546.5 ; 0.3 ; 6
GA  0.0000048 ; 0.000002 ; 571.9 ; 0.3 ; 5
GA  0.0000031 ; 0.0000017 ; 582.3 ; 0.3 ; 4
GA  0.000005 ; 0.000004 ; 610.1 ; 0.3 ; 3
COM -------------- Level Separator - T1/2 in seconds -------------
LED 562.8 ; 0.1 ; 3 ;  ;  ; 24
GA  0.0000165 ; 0.0000017 ; 488.66 ; 0.1 ; 4
GA  0.0000137 ; 0.0000015 ; 516.45 ; 0.1 ; 3
GA  0.0000061 ; 0.0000012 ; 535.43 ; 0.1 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 537 ; 0.1 ; 2 ;  ;  ; 23
GA  0.000004 ; 0.000001 ; 490.65 ; 0.1 ; 3
GA  0.0000036 ; 0.0000017 ; 509.63 ; 0.1 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 501.28 ; 0.07 ; 2 ;  ;  ; 22
GA  0.000007 ; 0.000004 ; 427.14 ; 0.07 ; 4
GA  0.0000076 ; 0.0000018 ; 501.28 ; 0.07 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 469.24 ; 0.06 ; 1 ;  ;  ; 21
GA  0.0000365 ; 0.0000022 ; 384.69 ; 0.06 ; 5
COM -------------- Level Separator - T1/2 in seconds -------------
LED 437.96 ; 0.04 ; 22 ;  ;  ; 20
GA  0.000022 ; 0.000008 ; 50.73 ; 0.05 ; 17
EL1 0.00037 ; 0.00013 ; 30.88 ; 0.05 ; 17
EL2 0.000042 ; 0.000015 ; 31.65 ; 0.05 ; 17
EL3 0.0000026 ; 0.000001 ; 34.86 ; 0.05 ; 17
EM  0.000099 ; 0.000036 ; 46.7 ; 0.05 ; 17
EN  0.000033 ; 0.000012 ; 49.98 ; 0.05 ; 17
GA  0.00008 ; 0.000003 ; 363.82 ; 0.04 ; 4
GA  0.0000673 ; 0.0000022 ; 391.61 ; 0.04 ; 3
EK  0.000001101 ; 0.000000039 ; 284.854 ; 0.04 ; 3
EL1 0.000000147 ; 0.000000005 ; 371.764 ; 0.04 ; 3
EL2 0.0000000302 ; 0.0000000011 ; 372.529 ; 0.04 ; 3
EL3 0.0000000192 ; 0.0000000007 ; 375.74 ; 0.04 ; 3
EM  0.0000000469 ; 0.0000000017 ; 387.578 ; 0.04 ; 3
EN  0.0000000152 ; 0.0000000006 ; 390.861 ; 0.04 ; 3
GA  0.000018 ; 0.0000022 ; 410.59 ; 0.04 ; 1
EK  0.000000267 ; 0.000000033 ; 303.834 ; 0.04 ; 1
EL1 0.0000000358 ; 0.0000000044 ; 390.744 ; 0.04 ; 1
EL2 0.0000000071 ; 0.0000000009 ; 391.509 ; 0.04 ; 1
EL3 0.0000000045 ; 0.0000000006 ; 394.72 ; 0.04 ; 1
EM  0.0000000113 ; 0.0000000014 ; 406.558 ; 0.04 ; 1
EN  0.00000000366 ; 0.00000000045 ; 409.841 ; 0.04 ; 1
GA  0.000045 ; 0.000003 ; 437.96 ; 0.04 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 435.19 ; 0.02 ; 8 ;  ;  ; 19
GA  0.000356 ; 0.000008 ; 407.82 ; 0.022 ; 1
EK  0.0000958 ; 0.0000026 ; 301.064 ; 0.022 ; 1
EL1 0.00001574 ; 0.00000043 ; 387.974 ; 0.022 ; 1
EL2 0.00000185 ; 0.00000005 ; 388.739 ; 0.022 ; 1
EL3 0.0000000876 ; 0.0000000024 ; 391.95 ; 0.022 ; 1
EM  0.00000423 ; 0.00000011 ; 403.788 ; 0.022 ; 1
EN  0.000001382 ; 0.000000038 ; 407.071 ; 0.022 ; 1
GA  0.0000294 ; 0.0000017 ; 435.19 ; 0.02 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 425.59 ; 0.03 ; 22 ;  ;  ; 18
GA  0.000028 ; 0.000012 ; 351.45 ; 0.03 ; 4
EK  0.00000058 ; 0.00000025 ; 244.694 ; 0.03 ; 4
EL1 0.000000077 ; 0.000000033 ; 331.604 ; 0.03 ; 4
EL2 0.000000017 ; 0.000000007 ; 332.369 ; 0.03 ; 4
EL3 0.0000000111 ; 0.0000000048 ; 335.58 ; 0.03 ; 4
EM  0.000000025 ; 0.000000011 ; 347.418 ; 0.03 ; 4
EN  0.0000000081 ; 0.0000000035 ; 350.701 ; 0.03 ; 4
GA  0.000498 ; 0.000011 ; 379.24 ; 0.03 ; 3
EK  0.000124 ; 0.00005 ; 272.484 ; 0.03 ; 3
EL1 0.000021 ; 0.000007 ; 359.394 ; 0.03 ; 3
EL2 0.000004 ; 0.0000015 ; 360.159 ; 0.03 ; 3
EL3 0.0000008 ; 0.0000008 ; 363.37 ; 0.03 ; 3
EM  0.0000062 ; 0.0000012 ; 375.208 ; 0.03 ; 3
EN  0.00000203 ; 0.00000043 ; 378.491 ; 0.03 ; 3
GA  0.0000226 ; 0.0000022 ; 395.61 ; 0.03 ; 2
EK  0.000000362 ; 0.000000036 ; 288.854 ; 0.03 ; 2
EL1 0.0000000486 ; 0.0000000048 ; 375.764 ; 0.03 ; 2
EL2 0.0000000099 ; 0.000000001 ; 376.529 ; 0.03 ; 2
EL3 0.0000000063 ; 0.0000000006 ; 379.74 ; 0.03 ; 2
EM  0.0000000154 ; 0.0000000015 ; 391.578 ; 0.03 ; 2
EN  0.000000005 ; 0.00000000049 ; 394.861 ; 0.03 ; 2
GA  0.000095 ; 0.000003 ; 398.22 ; 0.03 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 387.23 ; 0.02 ; 56 ;  ;  ; 17
GA  0.000046 ; 0.000021 ; 57.19 ; 0.022 ; 15
EL1 0.000083 ; 0.000038 ; 37.344 ; 0.022 ; 15
EL2 0.0026 ; 0.0012 ; 38.109 ; 0.022 ; 15
EL3 0.0023 ; 0.001 ; 41.32 ; 0.022 ; 15
EM  0.0014 ; 0.0006 ; 53.158 ; 0.022 ; 15
EN  0.00044 ; 0.0002 ; 56.441 ; 0.022 ; 15
GA  0.00182 ; 0.00004 ; 260.37 ; 0.03 ; 7
EK  0.00067 ; 0.00018 ; 153.614 ; 0.03 ; 7
EL1 0.000115 ; 0.000029 ; 240.524 ; 0.03 ; 7
EL2 0.000091 ; 0.000011 ; 241.289 ; 0.03 ; 7
EL3 0.000036 ; 0.000007 ; 244.5 ; 0.03 ; 7
EM  0.0000619 ; 0.0000027 ; 256.338 ; 0.03 ; 7
EN  0.0000201 ; 0.000001 ; 259.621 ; 0.03 ; 7
GA  0.00068 ; 0.000015 ; 277.29 ; 0.03 ; 6
EK  0.00027 ; 0.00048 ; 170.534 ; 0.03 ; 6
EL1 0.00006 ; 0.0001 ; 257.444 ; 0.03 ; 6
EL2 0.000009 ; 0.000016 ; 258.209 ; 0.03 ; 6
EL3 0.000005 ; 0.000009 ; 261.42 ; 0.03 ; 6
EM  0.00002 ; 0.000034 ; 273.258 ; 0.03 ; 6
EN  0.000006 ; 0.000011 ; 276.541 ; 0.03 ; 6
GA  0.0021 ; 0.001 ; 302.68 ; 0.022 ; 5
EK  0.00006 ; 0.000029 ; 195.924 ; 0.022 ; 5
EL1 0.0000078 ; 0.0000037 ; 282.834 ; 0.022 ; 5
EL2 0.0000019 ; 0.0000009 ; 283.599 ; 0.022 ; 5
EL3 0.0000013 ; 0.0000006 ; 286.81 ; 0.022 ; 5
EM  0.0000026 ; 0.0000013 ; 298.648 ; 0.022 ; 5
EN  0.00000085 ; 0.00000041 ; 301.931 ; 0.022 ; 5
GA  0.000987 ; 0.00002 ; 313.09 ; 0.022 ; 4
EK  0.00022 ; 0.00008 ; 206.334 ; 0.022 ; 4
EL1 0.000036 ; 0.000013 ; 293.244 ; 0.022 ; 4
EL2 0.0000247 ; 0.000004 ; 294.009 ; 0.022 ; 4
EL3 0.0000088 ; 0.000002 ; 297.22 ; 0.022 ; 4
EM  0.0000175 ; 0.0000016 ; 309.058 ; 0.022 ; 4
EN  0.0000057 ; 0.0000006 ; 312.341 ; 0.022 ; 4
GA  0.00177 ; 0.00004 ; 340.88 ; 0.022 ; 3
EK  0.000143 ; 0.000039 ; 234.124 ; 0.022 ; 3
EL1 0.000028 ; 0.000009 ; 321.034 ; 0.022 ; 3
EL2 0.0000048 ; 0.0000014 ; 321.799 ; 0.022 ; 3
EL3 0.0000023 ; 0.0000007 ; 325.01 ; 0.022 ; 3
EM  0.0000088 ; 0.0000027 ; 336.848 ; 0.022 ; 3
EN  0.0000028 ; 0.0000009 ; 340.131 ; 0.022 ; 3
GA  0.00168 ; 0.00004 ; 357.25 ; 0.022 ; 2
EK  0.00057 ; 0.00015 ; 250.494 ; 0.022 ; 2
EL1 0.000094 ; 0.000024 ; 337.404 ; 0.022 ; 2
EL2 0.000015 ; 0.000005 ; 338.169 ; 0.022 ; 2
EL3 0.0000022 ; 0.0000029 ; 341.38 ; 0.022 ; 2
EM  0.0000267 ; 0.0000036 ; 353.218 ; 0.022 ; 2
EN  0.0000087 ; 0.0000013 ; 356.501 ; 0.022 ; 2
GA  0.000085 ; 0.000003 ; 359.86 ; 0.022 ; 1
GA  0.000003 ; 0.000001 ; 387.23 ; 0.02 ; 0
