PAR SB124
AZP 124 ; 51
NDA 1
COM ***************** Evaluation Date: 22/12/2008 ****************
COM ===================== Daughter Separator =====================
DAU TE124
DDE 1 ;  ; 27 ; 26
Q   2904.3 ; 1.5
COM ---------------------- Branch Separator ----------------------
BEM 0.000059 ; 0.000005 ; 27 ; 17.9 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00054 ; 0.00009 ; 26 ; 38.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000207 ; 0.000012 ; 25 ; 89.7 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000012 ; 0.000005 ; 24 ; 96.8 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00653 ; 0.00006 ; 23 ; 129.2 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00106 ; 0.00006 ; 22 ; 193.3 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00571 ; 0.00025 ; 21 ; 202.7 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.08663 ; 0.00027 ; 20 ; 210.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000242 ; 0.000022 ; 19 ; 221.8 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000098 ; 0.000008 ; 18 ; 285.2 ; 1.5 ; 2
COM ---------------------- Branch Separator ----------------------
BEM 0.000364 ; 0.000022 ; 17 ; 354.6 ; 1.5 ; 2
COM ---------------------- Branch Separator ----------------------
BEM 0.000529 ; 0.000005 ; 16 ; 382.8 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000422 ; 0.000019 ; 15 ; 392.3 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00332 ; 0.0001 ; 14 ; 421 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00005 ; 0.000026 ; 13 ; 449.3 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
COM ---------------------- Branch Separator ----------------------
BEM 0.000686 ; 0.000014 ; 11 ; 580.9 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.5121 ; 0.0019 ; 10 ; 610.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000967 ; 0.000034 ; 9 ; 679.5 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.0047 ; 0.003 ; 8 ; 721.9 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00688 ; 0.00038 ; 7 ; 812.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.04143 ; 0.00018 ; 6 ; 865 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.02295 ; 0.00007 ; 5 ; 946.4 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.000053 ; 0.00001 ; 4 ; 1247.7 ; 1.5 ; 2
COM ---------------------- Branch Separator ----------------------
BEM 0.04815 ; 0.00029 ; 3 ; 1578.8 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.02472 ; 0.00033 ; 2 ; 1655.7 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.2344 ; 0.0028 ; 1 ; 2301.6 ; 1.5 ; 0
COM ---------------------- Branch Separator ----------------------
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2886.37 ; 0.06 ; 7 ;  ;  ; 27
GA  0.000059 ; 0.000005 ; 2283.62 ; 0.06 ; 1
EK  0.000000019 ; 0.000000012 ; 2251.83 ; 0.06 ; 1
EL1 0.0000000023 ; 0.0000000014 ; 2278.7 ; 0.06 ; 1
EL2 0.000000000053 ; 0.000000000047 ; 2279.03 ; 0.06 ; 1
EL3 0.0000000000236 ; 0.0000000000041 ; 2279.3 ; 0.06 ; 1
EM  0.00000000047 ; 0.0000000003 ; 2282.87 ; 0.06 ; 1
EN  0.0000000001 ; 0.00000000007 ; 2283.55 ; 0.06 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2865.72 ; 0.05 ; 2 ;  ;  ; 26
GA  0.00036 ; 0.00009 ; 530.46 ; 0.07 ; 12
GA  0.000176 ; 0.000008 ; 572.01 ; 0.05 ; 10
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2814.56 ; 0.07 ; 2 ;  ;  ; 25
GA  0.000098 ; 0.000004 ; 775.27 ; 0.07 ; 6
GA  0.000109 ; 0.000012 ; 1565.97 ; 0.07 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2807.55 ; 0.24 ; 7 ;  ;  ; 24
GA  0.000012 ; 0.000005 ; 2807.52 ; 0.24 ; 0
EK  0.0000000021 ; 0.0000000009 ; 2775.74 ; 0.24 ; 0
EL1 0.00000000024 ; 0.0000000001 ; 2802.61 ; 0.24 ; 0
EL2 0.0000000000042 ; 0.0000000000018 ; 2802.94 ; 0.24 ; 0
EL3 0.0000000000039 ; 0.0000000000016 ; 2803.21 ; 0.24 ; 0
EM  0.000000000048 ; 0.00000000002 ; 2806.78 ; 0.24 ; 0
EN  0.0000000000107 ; 0.0000000000044 ; 2807.46 ; 0.24 ; 0
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2775.07 ; 0.017 ; 12 ;  ;  ; 23
GA  0.000069 ; 0.000007 ; 291.79 ; 0.03 ; 14
GA  0.000232 ; 0.000031 ; 481.36 ; 0.02 ; 10
GA  0.001312 ; 0.000016 ; 735.78 ; 0.02 ; 6
GA  0.000744 ; 0.000012 ; 817.15 ; 0.03 ; 5
GA  0.00414 ; 0.00005 ; 1526.48 ; 0.02 ; 2
EK  0.000001043 ; 0.000000021 ; 1494.674 ; 0.017 ; 2
EL1 0.0000001176 ; 0.0000000022 ; 1521.549 ; 0.017 ; 2
EL2 0.000000001855 ; 0.000000000037 ; 1521.876 ; 0.017 ; 2
EL3 0.00000000317 ; 0.00000000006 ; 1522.147 ; 0.017 ; 2
EM  0.00000002426 ; 0.00000000047 ; 1525.718 ; 0.017 ; 2
EN  0.00000000533 ; 0.0000000001 ; 1526.394 ; 0.017 ; 2
GA  0.000029 ; 0.000016 ; 2172.32 ; 0.02 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2711.012 ; 0.021 ; 2 ;  ;  ; 22
GA  0.00062 ; 0.00006 ; 1385.49 ; 0.02 ; 3
GA  0.000444 ; 0.000023 ; 2108.27 ; 0.02 ; 1
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2701.622 ; 0.009 ; 9 ;  ;  ; 21
GA  0.00024 ; 0.00011 ; 662.33 ; 0.01 ; 6
GA  0.004999 ; 0.000043 ; 1376.1 ; 0.01 ; 3
EK  0.0000015 ; 0.000000028 ; 1344.296 ; 0.009 ; 3
EL1 0.0000001695 ; 0.0000000033 ; 1371.171 ; 0.009 ; 3
