PAR TL208
AZP 208 ; 81
NDA 1
COM ***************** Evaluation Date: 28/07/2010 ****************
COM ===================== Daughter Separator =====================
DAU PB208
DDE 1 ;  ; 16 ; 15
Q   4999 ; 1.7
COM ---------------------- Branch Separator ----------------------
BEM 0.00052 ; 0.00005 ; 23 ; 518.3 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00017 ; 0.00005 ; 21 ; 615.7 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00045 ; 0.00004 ; 20 ; 640.3 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00005 ; 0.00002 ; 19 ; 675.1 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00102 ; 0.00011 ; 18 ; 702.4 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00002 ; 0.00001 ; 17 ; 737.1 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00231 ; 0.00009 ; 13 ; 818.6 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00174 ; 0.00009 ; 12 ; 873.7 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00007 ; 0.00003 ; 8 ; 1003.6 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.0317 ; 0.0004 ; 7 ; 1037.8 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00048 ; 0.00003 ; 6 ; 1052.4 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.0063 ; 0.0004 ; 5 ; 1079 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.241 ; 0.002 ; 4 ; 1290.5 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.221 ; 0.005 ; 3 ; 1523.9 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.492 ; 0.006 ; 2 ; 1801.3 ; 1.7 ; 0
COM ---------------------- Branch Separator ----------------------
COM ---------------------- Branch Separator ----------------------
COM -------------- Level Separator - T1/2 in seconds -------------
LED 4480.746 ; 0.016 ; 7 ;  ;  ; 23
GA  0.00052 ; 0.00005 ; 1283.04 ; 0.02 ; 2
EK  0.00000403 ; 0.00000039 ; 1195.036 ; 0.02 ; 2
EL1 0.00000061 ; 0.00000006 ; 1267.179 ; 0.02 ; 2
EL2 0.0000000504 ; 0.0000000049 ; 1267.84 ; 0.02 ; 2
EL3 0.00000000421 ; 0.00000000041 ; 1270.005 ; 0.02 ; 2
EM  0.000000153 ; 0.000000015 ; 1279.932 ; 0.02 ; 2
EN  0.0000000468 ; 0.0000000046 ; 1282.55 ; 0.02 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 4383.285 ; 0.017 ; 7 ;  ;  ; 21
GA  0.00017 ; 0.00005 ; 1185.57 ; 0.02 ; 2
EK  0.00000161 ; 0.00000047 ; 1097.566 ; 0.02 ; 2
EL1 0.00000024 ; 0.00000007 ; 1169.709 ; 0.02 ; 2
EL2 0.000000021 ; 0.000000006 ; 1170.37 ; 0.02 ; 2
EL3 0.00000000166 ; 0.00000000049 ; 1172.535 ; 0.02 ; 2
EM  0.000000062 ; 0.000000018 ; 1182.462 ; 0.02 ; 2
EN  0.000000019 ; 0.000000006 ; 1185.08 ; 0.02 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 4358.67 ; 0.013 ; 21 ;  ;  ; 20
GA  0.00031 ; 0.00003 ; 883.59 ; 0.02 ; 3
EK  0.0000062 ; 0.0000006 ; 795.586 ; 0.02 ; 3
EL1 0.00000094 ; 0.00000009 ; 867.729 ; 0.02 ; 3
EL2 0.000000085 ; 0.000000008 ; 868.39 ; 0.02 ; 3
EL3 0.0000000063 ; 0.0000000006 ; 870.555 ; 0.02 ; 3
EM  0.000000241 ; 0.000000024 ; 880.482 ; 0.02 ; 3
EN  0.000000073 ; 0.000000007 ; 883.1 ; 0.02 ; 3
GA  0.00011 ; 0.00003 ; 1160.96 ; 0.02 ; 2
EK  0.0000011 ; 0.0000003 ; 1072.956 ; 0.02 ; 2
EL1 0.000000165 ; 0.000000045 ; 1145.099 ; 0.02 ; 2
