PAR TL209
AZP 209 ; 81
NDA 1
COM ***************** Evaluation Date: 30/06/2011 ****************
COM ===================== Daughter Separator =====================
DAU PB209
DDE 1 ;  ; 10 ; 9
Q   3976 ; 8
COM ---------------------- Branch Separator ----------------------
BEM 0.0042 ; 0.00022 ; 10 ; 587 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.001 ; 0.0003 ; 9 ; 615 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00645 ; 0.00016 ; 8 ; 906 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.007 ; 0.0009 ; 7 ; 1071 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.0007 ; 0.00015 ; 6 ; 1451 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.00031 ; 0.00016 ; 5 ; 1515 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.0032 ; 0.0011 ; 4 ; 1660 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.977 ; 0.0015 ; 3 ; 1827 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
BEM 0.001 ;  ; 2 ; 1944 ; 8 ; 0
COM ---------------------- Branch Separator ----------------------
COM ---------------------- Branch Separator ----------------------
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3388.96 ; 0.13 ; 1 ;  ;  ; 10
GA  0.0042 ; 0.00022 ; 1239.66 ; 0.11 ; 3
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3361.36 ; 0.17 ; 1 ;  ;  ; 9
GA  0.001 ; 0.0003 ; 1329.29 ; 0.16 ; 2
COM -------------- Level Separator - T1/2 in seconds -------------
LED 3069.72 ; 0.13 ; 7 ;  ;  ; 8
GA  0.00631 ; 0.00015 ; 920.43 ; 0.11 ; 3
EK  0.0001142 ; 0.0000033 ; 832.43 ; 0.14 ; 3
EL1 0.00001723 ; 0.00000048 ; 904.57 ; 0.14 ; 3
EL2 0.00000154 ; 0.000000044 ; 905.23 ; 0.14 ; 3
EL3 0.0000001155 ; 0.0000000033 ; 907.39 ; 0.14 ; 3
EM  0.0000044 ; 0.00000012 ; 917.32 ; 0.14 ; 3
EN  0.000001342 ; 0.000000037 ; 919.94 ; 0.14 ; 3
COM -------------- Level Separator - T1/2 in seconds -------------
LED 2905.14 ; 0.25 ; 14 ;  ;  ; 7
GA  0.0011 ; 0.0002 ; 755.6 ; 0.3 ; 3
EK  0.000033 ; 0.000006 ; 667.85 ; 0.26 ; 3
EL1 0.000005 ; 0.0000009 ; 739.99 ; 0.26 ; 3
EL2 0.00000046 ; 0.00000008 ; 740.65 ; 0.26 ; 3
